banner,date,new_servant,limited_servant,event_type,event_type_2
"66,666 Likes Pickup Summon",7/6/2017,yes,yes,milestone,
Nero Fest,7/25/2017,no,no,event,lottery
Orleans Pickup Summon,8/8/2017,no,no,singularity,
Moon Festival,8/17/2017,yes,no,event,
1 Million Downloads Campaign,8/31/2017,yes,yes,milestone,
Fuyuki Pickup Summon,9/14/2017,no,no,singularity,
Septem Pickup Summon,9/21/2017,no,no,singularity,
Okeanos Pickup Summon,9/28/2017,yes,no,singularity,
Okeanos Pickup 2 Summon!,10/5/2017,no,no,singularity,
Halloween Pickup Summon,10/17/2017,yes,yes,event,holiday
Da Vinci's Selection Pickup Summon,11/1/2017,no,no,pickup,
Thanksgiving Guaranteed Summon,11/2/2017,no,no,guaranteed,holiday
GUDAGUDA Honnoji Pickup Summon,11/8/2017,yes,yes,event,
Thanksgiving Pickup Summon (Nov 29-30),11/22/2017,yes,yes,pickup,holiday
Christmas Pickup Summon,12/1/2017,no,yes,event,holiday
Singularity Pickup Summon - Fuyuki (Dec 11-12),12/11/2017,no,no,pickup,
Singularity Pickup Summon - Orleans (Dec 13-14),12/13/2017,no,no,pickup,
Singularity Pickup Summon - Septem (Dec 15-16),12/15/2017,no,no,pickup,
Singularity Pickup Summon - Okeanos (Dec 17-19),12/17/2017,no,no,pickup,
London Pickup Summon,12/19/2017,yes,no,singularity,
London Pickup 2 Summon,12/26/2017,yes,no,singularity,
New Year Pickup Summon,12/28/2017,yes,no,pickup,holiday
Mysterious Heroine X Pickup Summon,1/4/2018,yes,yes,event,
2 Million Downloads Campaign,1/18/2018,yes,yes,milestone,
Valentine's Pickup Summon (Daily),1/25/2018,yes,yes,event,holiday
"""The Garden of Sinners"" Collaboration Pickup Summon",2/8/2018,yes,yes,event,collab
Chaldea Boys Collection 2018 Pickup Summon (Daily),2/22/2018,yes,yes,pickup,holiday
Edmond Dantes Pickup Summon,3/1/2018,yes,yes,event,
Singularity Pickup Summon Spring 2018 (Daily),3/8/2018,no,no,pickup,
E Pluribus Unum Pickup Summon,3/15/2018,yes,no,singularity,
E Pluribus Unum Pickup 2 Summon,3/22/2018,yes,no,singularity,
E Pluribus Unum Pickup 3 Summon,3/29/2018,yes,no,singularity,
Jeanne d'Arc (Alter) Pick Up Summon,4/4/2018,yes,yes,event,
Fate/Accel Zero Order Advance Campaign Pickup Summon,4/11/2018,no,yes,event,collab
Fate/Accel Zero Order Summoning Campaign,4/19/2018,yes,yes,event,collab
Sakata Kintoki Pickup Summon,5/10/2018,no,yes,pickup,
The Demonic Capital: Rashomon Pickup Summon,5/16/2018,yes,yes,event,
Sanzang Coming to the West Pickup Summon,5/31/2018,yes,no,event,
The Great Tale of Demons: Onigashima Pickup Summon,6/14/2018,yes,yes,event,
Camelot Pickup Summon,6/28/2018,yes,no,singularity,
FGO Summer Festival 2018 1st Anniversary,7/7/2018,yes,yes,milestone,anniversary
Camelot Pickup 2 Summon,7/17/2018,yes,no,singularity,
Summer 2018 (Part 1),7/26/2018,yes,yes,event,summer
Summer 2018 (Part 2),8/6/2018,yes,yes,event,summer
Magical Girl Cruise - PRISMA CODES Pickup Summon (Daily),8/23/2018,yes,yes,event,collab
Class Pickup Summon Fall 2018 (Daily),9/4/2018,no,yes,pickup,
The Return of Nero Fest - Autumn 2018 Pickup Summon,9/13/2018,no,yes,event,lottery
Singularity Pickup Summon Fall 2018 (Daily),9/25/2018,no,yes,pickup,
Revival: Halloween 2017 Pickup Summon,10/4/2018,no,yes,event,holiday
4 Million Downloads Pickup Summon,10/17/2018,no,yes,milestone,
Halloween 2018 Pickup Summon,10/25/2018,yes,yes,event,holiday
Knights of the Round Table Pickup Summon (Daily),11/7/2018,no,yes,event,
