title,genre
AFK Arena,Role Playing
Alchemy Stars,Role Playing
Another Eden,Role Playing
Arknights,Strategy
Arrowmancer,Role Playing
Awaken: Chaos Era,Role Playing
Azur Lane,Action
BanG Dream! Girls Band Party!,Music
Bleach: Brave Souls,Action
Bleach: Immortal Soul,Role Playing
Blue Archive,Role Playing
Captain Tsubasa: Dream Team,Sports
Cookie Run: Kingdom,Role Playing
Counter:Side,Role Playing
Destiny Child,Role Playing
Disney: Twisted-Wonderland,Adventure
Dissidia Final Fantasy Opera Omnia,Role Playing
Dragalia Lost,Role Playing
Dragon Ball Legends,Action
Dragon Ball Z Dokkan Battle,Action
Ensemble Stars!!,Music
Epic Seven,Role Playing
Evertale,Role Playing
Fate/Grand Order,Role Playing
Final Fantasy Brave Exvius,Role Playing
Final Fantasy Record Keeper,Role Playing
Final Fantasy War of the Visions,Simulation
Fire Emblem Heroes,Simulation
Food Fantasy,Role Playing
Gemstone Legends,Puzzle
Genshin Impact,Adventure
Girls Frontline,Strategy
Granblue Fantasy,Role Playing
Grand Summoners,Role Playing
Guardian Tales,Role Playing
Heaven Burns Red,Role Playing
Hero Wars,Strategy
Honkai Impact 3rd,Action
Identity V,Role Playing
Idle Heroes,Role Playing
Idle Huntress,Card
Kemono Friends 3,Role Playing
King's Raid,Role Playing
Langrisser Mobile,Strategy
Last Cloudia,Role Playing
Lord Of Heroes,Role Playing
Love Live! School Idol Festival,Music
Magia Record,Role Playing
Mario Kart Tour,Action
Marvel Future Revolution,Role Playing
Marvel: Future Fight,Role Playing
Mythic Heroes,Role Playing
NieR Re[in]carnation,Role Playing
Nu: Carnival,Role Playing
Obey Me! One Master to Rule Them All,Role Playing
One Piece Bounty Rush,Action
One Piece Treasure Cruise,Role Playing
Onmyoji,Role Playing
Other,Role Playing
Pokemon Masters EX,Role Playing
Princess Connect! Re:Dive,Role Playing
Project Sekai: Colorful Stage! feat. Hatsune Miku,Music
Promise of Wizard,Simulation
Punishing: Gray Raven,Action
Puzzle & Dragons,Puzzle
Raid: Shadow Legends,Role Playing
Romancing SaGa Re;univerSe,Role Playing
SLIME - ISEKAI Memories,Role Playing
Sdorica,Role Playing
Shoujo Kageki Revue Starlight: Re LIVE,Role Playing
Sinoalice,Role Playing
Skullgirls Mobile,Action
Summoners War,Role Playing
Tears of Themis,Simulation
The Battle Cats,Casual
The Idolm@ster Cinderella Girls: Starlight Stage,Music
The King Of Fighters All Star,Action
The Seven Deadly Sins Grand Cross,Role Playing
Tokyo Afterschool Summoners,Role Playing
Touhou LostWord,Role Playing
Uma Musume: Pretty Derby,Simulation
World Flipper,Action
Yu-Gi-Oh! Duel Links,Card
Yu-Gi-Oh! Master Duel,Card
